Sample,Hour,Isolate,Media
JBC20A,20,JBC,Aim V
JBC20A,20,JBC,Aim V
JBC20D,20,JBC,DMEM
JBC20D,20,JBC,DMEM
JBC20I,20,JBC,IMDM
JBC20I,20,JBC,IMDM
JBC20M,20,JBC,McCoy's 5A
JBC20M,20,JBC,McCoy's 5A
JBC36A,36,JBC,Aim V
JBC36A,36,JBC,Aim V
JBC36D,36,JBC,DMEM
JBC36D,36,JBC,DMEM
JBC36I,36,JBC,IMDM
JBC36I,36,JBC,IMDM
JBC36M,36,JBC,McCoy's 5A
JBC36M,36,JBC,McCoy's 5A
JBC4A,4,JBC,Aim V
JBC4A,4,JBC,Aim V
JBC4A,4,JBC,Aim V
JBC4D,4,JBC,DMEM
JBC4D,4,JBC,DMEM
JBC4D,4,JBC,DMEM
JBC4I,4,JBC,IMDM
JBC4I,4,JBC,IMDM
JBC4I,4,JBC,IMDM
JBC4M,4,JBC,McCoy's 5A
JBC4M,4,JBC,McCoy's 5A
JBC4M,4,JBC,McCoy's 5A
MRMS20A,20,MRMS,Aim V
MRMS20A,20,MRMS,Aim V
MRMS20D,20,MRMS,DMEM
MRMS20D,20,MRMS,DMEM
MRMS20I,20,MRMS,IMDM
MRMS20I,20,MRMS,IMDM
MRMS20M,20,MRMS,McCoy's 5A
MRMS20M,20,MRMS,McCoy's 5A
MRMS36A,36,MRMS,Aim V
MRMS36A,36,MRMS,Aim V
MRMS36D,36,MRMS,DMEM
MRMS36D,36,MRMS,DMEM
MRMS36I,36,MRMS,IMDM
MRMS36I,36,MRMS,IMDM
MRMS36M,36,MRMS,McCoy's 5A
MRMS36M,36,MRMS,McCoy's 5A
MRMS44A,44 DNA-Low,MRMS,Aim V
MRMS44A,44 DNA-Low,MRMS,Aim V
MRMS44hA,44 DNA-High,MRMS,Aim V
MRMS44hA,44 DNA-High,MRMS,Aim V
MRMS44hI,44 DNA-High,MRMS,IMDM
MRMS44hI,44 DNA-High,MRMS,IMDM
MRMS44hI,44 DNA-High,MRMS,IMDM
MRMS44hM,44 DNA-High,MRMS,McCoy's 5A
MRMS44hM,44 DNA-High,MRMS,McCoy's 5A
MRMS44I,44 DNA-Low,MRMS,IMDM
MRMS44I,44 DNA-Low,MRMS,IMDM
MRMS44I,44 DNA-Low,MRMS,IMDM
MRMS44M,44 DNA-Low,MRMS,McCoy's 5A
MRMS44M,44 DNA-Low,MRMS,McCoy's 5A
MRMS4A,4,MRMS,Aim V
MRMS4A,4,MRMS,Aim V
MRMS4A,4,MRMS,Aim V
MRMS4D,4,MRMS,DMEM
MRMS4D,4,MRMS,DMEM
MRMS4I,4,MRMS,IMDM
MRMS4M,4,MRMS,McCoy's 5A
MRMS4M,4,MRMS,McCoy's 5A
TCF20A,20,TCF,Aim V
TCF20A,20,TCF,Aim V
TCF20D,20,TCF,DMEM
TCF20D,20,TCF,DMEM
TCF20I,20,TCF,IMDM
TCF20I,20,TCF,IMDM
TCF20M,20,TCF,McCoy's 5A
TCF20M,20,TCF,McCoy's 5A
TCF36A,36,TCF,Aim V
TCF36A,36,TCF,Aim V
TCF36D,36,TCF,DMEM
TCF36D,36,TCF,DMEM
TCF36I,36,TCF,IMDM
TCF36I,36,TCF,IMDM
TCF36M,36,TCF,McCoy's 5A
TCF36M,36,TCF,McCoy's 5A
TCF44A,44 DNA-Low,TCF,Aim V
TCF44A,44 DNA-Low,TCF,Aim V
TCF44A,44 DNA-Low,TCF,Aim V
TCF44D,44 DNA-Low,TCF,DMEM
TCF44D,44 DNA-Low,TCF,DMEM
TCF44D,44 DNA-Low,TCF,DMEM
TCF44hA,44 DNA-High,TCF,Aim V
TCF44hA,44 DNA-High,TCF,Aim V
TCF44hA,44 DNA-High,TCF,Aim V
TCF44hD,44 DNA-High,TCF,DMEM
TCF44hI,44 DNA-High,TCF,IMDM
TCF44hI,44 DNA-High,TCF,IMDM
TCF44hI,44 DNA-High,TCF,IMDM
TCF44hM,44 DNA-High,TCF,McCoy's 5A
TCF44hM,44 DNA-High,TCF,McCoy's 5A
TCF44hM,44 DNA-High,TCF,McCoy's 5A
TCF44I,44 DNA-Low,TCF,IMDM
TCF44I,44 DNA-Low,TCF,IMDM
TCF44I,44 DNA-Low,TCF,IMDM
TCF44M,44 DNA-Low,TCF,McCoy's 5A
TCF44M,44 DNA-Low,TCF,McCoy's 5A
TCF44M,44 DNA-Low,TCF,McCoy's 5A
TCF4A,4,TCF,Aim V
TCF4A,4,TCF,Aim V
TCF4D,4,TCF,DMEM
TCF4D,4,TCF,DMEM
TCF4I,4,TCF,IMDM
TCF4I,4,TCF,IMDM
TCF4M,4,TCF,McCoy's 5A
TCF4M,4,TCF,McCoy's 5A
TCF72D,72 DNA-Low,TCF,DMEM
TCF72D,72 DNA-Low,TCF,DMEM
TCF72hA,72 DNA-High,TCF,Aim V
TCF72hA,72 DNA-High,TCF,Aim V
TCF72hI,72 DNA-High,TCF,IMDM
TCF72hI,72 DNA-High,TCF,IMDM
TCF72hI,72 DNA-High,TCF,IMDM
TCF72hM,72 DNA-High,TCF,McCoy's 5A
TCF72hM,72 DNA-High,TCF,McCoy's 5A
TCF72hM,72 DNA-High,TCF,McCoy's 5A
TCF72I,72 DNA-Low,TCF,IMDM
TCF72I,72 DNA-Low,TCF,IMDM
TCF72I,72 DNA-Low,TCF,IMDM
TCF72M,72 DNA-Low,TCF,McCoy's 5A
TCF72M,72 DNA-Low,TCF,McCoy's 5A
TCF72M,72 DNA-Low,TCF,McCoy's 5A
TCF72mA,72 DNA-Mid,TCF,Aim V
TCF72mA,72 DNA-Mid,TCF,Aim V
TCF72mD,72 DNA-Mid,TCF,DMEM
TCF72mD,72 DNA-Mid,TCF,DMEM
TCF72mD,72 DNA-Mid,TCF,DMEM
TCF72mI,72 DNA-Mid,TCF,IMDM
TCF72mI,72 DNA-Mid,TCF,IMDM
TCF72mM,72 DNA-Mid,TCF,McCoy's 5A
TCF72mM,72 DNA-Mid,TCF,McCoy's 5A
TCF72mM,72 DNA-Mid,TCF,McCoy's 5A